id,filename,label,width,height,box
F_00011,PennFudanPed/PNGImages/FudanPed00011.png,PASpersonWalking,459,420,"[278, 112, 438, 394]"
F_00012,PennFudanPed/PNGImages/FudanPed00012.png,PASpersonWalking,468,384,"[159, 71, 295, 361]"
F_00012,PennFudanPed/PNGImages/FudanPed00012.png,PASpersonWalking,468,384,"[328, 58, 439, 327]"
F_00013,PennFudanPed/PNGImages/FudanPed00013.png,PASpersonWalking,652,498,"[389, 193, 554, 476]"
F_00014,PennFudanPed/PNGImages/FudanPed00014.png,PASpersonWalking,456,383,"[234, 86, 405, 367]"
F_00015,PennFudanPed/PNGImages/FudanPed00015.png,PASpersonWalking,336,349,"[19, 43, 174, 327]"
F_00016,PennFudanPed/PNGImages/FudanPed00016.png,PASpersonWalking,544,425,"[80, 86, 205, 383]"
F_00016,PennFudanPed/PNGImages/FudanPed00016.png,PASpersonWalking,544,425,"[279, 94, 400, 361]"
F_00016,PennFudanPed/PNGImages/FudanPed00016.png,PASpersonWalking,544,425,"[411, 101, 495, 378]"
F_00017,PennFudanPed/PNGImages/FudanPed00017.png,PASpersonWalking,266,342,"[115, 48, 244, 332]"
F_00018,PennFudanPed/PNGImages/FudanPed00018.png,PASpersonWalking,253,323,"[20, 19, 126, 304]"
F_00019,PennFudanPed/PNGImages/FudanPed00019.png,PASpersonWalking,497,442,"[7, 135, 142, 389]"
F_00019,PennFudanPed/PNGImages/FudanPed00019.png,PASpersonWalking,497,442,"[194, 123, 339, 421]"
F_00020,PennFudanPed/PNGImages/FudanPed00020.png,PASpersonWalking,555,417,"[339, 99, 508, 381]"
F_00021,PennFudanPed/PNGImages/FudanPed00021.png,PASpersonWalking,490,378,"[324, 76, 470, 367]"
F_00021,PennFudanPed/PNGImages/FudanPed00021.png,PASpersonWalking,490,378,"[234, 93, 268, 167]"
F_00021,PennFudanPed/PNGImages/FudanPed00021.png,PASpersonWalking,490,378,"[47, 95, 69, 160]"
F_00022,PennFudanPed/PNGImages/FudanPed00022.png,PASpersonStanding,536,465,"[112, 169, 209, 449]"
F_00022,PennFudanPed/PNGImages/FudanPed00022.png,PASpersonWalking,536,465,"[397, 171, 514, 455]"
F_00023,PennFudanPed/PNGImages/FudanPed00023.png,PASpersonWalking,376,378,"[202, 84, 341, 366]"
F_00024,PennFudanPed/PNGImages/FudanPed00024.png,PASpersonWalking,479,378,"[103, 84, 270, 370]"
F_00025,PennFudanPed/PNGImages/FudanPed00025.png,PASpersonWalking,425,369,"[226, 69, 396, 354]"
F_00025,PennFudanPed/PNGImages/FudanPed00025.png,PASpersonWalking,425,369,"[44, 87, 94, 256]"
F_00025,PennFudanPed/PNGImages/FudanPed00025.png,PASpersonWalking,425,369,"[128, 74, 189, 262]"
F_00025,PennFudanPed/PNGImages/FudanPed00025.png,PASpersonWalking,425,369,"[180, 53, 228, 255]"
F_00025,PennFudanPed/PNGImages/FudanPed00025.png,PASpersonWalking,425,369,"[213, 73, 273, 262]"
F_00025,PennFudanPed/PNGImages/FudanPed00025.png,PASpersonWalking,425,369,"[314, 62, 383, 266]"
F_00026,PennFudanPed/PNGImages/FudanPed00026.png,PASpersonWalking,440,427,"[44, 78, 150, 389]"
F_00026,PennFudanPed/PNGImages/FudanPed00026.png,PASpersonWalking,440,427,"[185, 89, 279, 373]"
F_00027,PennFudanPed/PNGImages/FudanPed00027.png,PASpersonWalking,302,363,"[104, 45, 253, 328]"
F_00028,PennFudanPed/PNGImages/FudanPed00028.png,PASpersonWalking,317,345,"[7, 16, 149, 303]"
F_00028,PennFudanPed/PNGImages/FudanPed00028.png,PASpersonWalking,317,345,"[186, 18, 316, 321]"
F_00029,PennFudanPed/PNGImages/FudanPed00029.png,PASpersonWalking,435,404,"[246, 72, 368, 351]"
F_00030,PennFudanPed/PNGImages/FudanPed00030.png,PASpersonWalking,462,387,"[59, 85, 208, 375]"
F_00031,PennFudanPed/PNGImages/FudanPed00031.png,PASpersonWalking,569,430,"[298, 122, 444, 408]"
F_00032,PennFudanPed/PNGImages/FudanPed00032.png,PASpersonWalking,608,474,"[456, 162, 573, 453]"
F_00033,PennFudanPed/PNGImages/FudanPed00033.png,PASpersonWalking,396,357,"[165, 53, 304, 346]"
F_00034,PennFudanPed/PNGImages/FudanPed00034.png,PASpersonWalking,309,351,"[111, 37, 254, 330]"
F_00035,PennFudanPed/PNGImages/FudanPed00035.png,PASpersonWalking,292,349,"[64, 39, 195, 331]"
F_00036,PennFudanPed/PNGImages/FudanPed00036.png,PASpersonWalking,1017,444,"[131, 98, 279, 394]"
F_00036,PennFudanPed/PNGImages/FudanPed00036.png,PASpersonWalking,1017,444,"[802, 120, 937, 381]"
F_00036,PennFudanPed/PNGImages/FudanPed00036.png,PASpersonWalking,1017,444,"[244, 133, 330, 363]"
F_00036,PennFudanPed/PNGImages/FudanPed00036.png,PASpersonWalking,1017,444,"[726, 145, 789, 345]"
F_00037,PennFudanPed/PNGImages/FudanPed00037.png,PASpersonWalking,423,361,"[259, 63, 415, 349]"
F_00037,PennFudanPed/PNGImages/FudanPed00037.png,PASpersonWalking,423,361,"[190, 98, 209, 170]"
F_00038,PennFudanPed/PNGImages/FudanPed00038.png,PASpersonWalking,422,346,"[219, 44, 400, 331]"
F_00039,PennFudanPed/PNGImages/FudanPed00039.png,PASpersonWalking,493,487,"[137, 137, 199, 311]"
F_00039,PennFudanPed/PNGImages/FudanPed00039.png,PASpersonWalking,493,487,"[231, 130, 331, 410]"
F_00040,PennFudanPed/PNGImages/FudanPed00040.png,PASpersonWalking,550,482,"[201, 157, 279, 437]"
F_00040,PennFudanPed/PNGImages/FudanPed00040.png,PASpersonWalking,550,482,"[279, 172, 377, 430]"
F_00041,PennFudanPed/PNGImages/FudanPed00041.png,PASpersonWalking,552,507,"[351, 161, 439, 437]"
F_00041,PennFudanPed/PNGImages/FudanPed00041.png,PASpersonWalking,552,507,"[284, 181, 357, 439]"
F_00041,PennFudanPed/PNGImages/FudanPed00041.png,PASpersonWalking,552,507,"[42, 186, 110, 388]"
F_00042,PennFudanPed/PNGImages/FudanPed00042.png,PASpersonWalking,588,547,"[159, 186, 250, 470]"
F_00042,PennFudanPed/PNGImages/FudanPed00042.png,PASpersonWalking,588,547,"[288, 156, 392, 449]"
F_00043,PennFudanPed/PNGImages/FudanPed00043.png,PASpersonStanding,493,518,"[64, 139, 147, 426]"
F_00043,PennFudanPed/PNGImages/FudanPed00043.png,PASpersonStanding,493,518,"[156, 139, 248, 435]"
F_00043,PennFudanPed/PNGImages/FudanPed00043.png,PASpersonStanding,493,518,"[261, 128, 358, 431]"
F_00044,PennFudanPed/PNGImages/FudanPed00044.png,PASpersonWalking,521,494,"[246, 170, 340, 462]"
F_00044,PennFudanPed/PNGImages/FudanPed00044.png,PASpersonWalking,521,494,"[337, 175, 426, 464]"
F_00044,PennFudanPed/PNGImages/FudanPed00044.png,PASpersonWalking,521,494,"[37, 129, 181, 492]"
F_00044,PennFudanPed/PNGImages/FudanPed00044.png,PASpersonWalking,521,494,"[436, 157, 501, 402]"
F_00045,PennFudanPed/PNGImages/FudanPed00045.png,PASpersonStanding,487,538,"[198, 198, 294, 481]"
F_00045,PennFudanPed/PNGImages/FudanPed00045.png,PASpersonWalking,487,538,"[319, 201, 404, 499]"
F_00045,PennFudanPed/PNGImages/FudanPed00045.png,PASpersonWalking,487,538,"[395, 212, 469, 495]"
F_00046,PennFudanPed/PNGImages/FudanPed00046.png,PASpersonWalking,567,438,"[178, 123, 271, 410]"
F_00046,PennFudanPed/PNGImages/FudanPed00046.png,PASpersonWalking,567,438,"[299, 114, 370, 335]"
F_00046,PennFudanPed/PNGImages/FudanPed00046.png,PASpersonStanding,567,438,"[446, 104, 507, 315]"
F_00046,PennFudanPed/PNGImages/FudanPed00046.png,PASpersonWalking,567,438,"[521, 119, 565, 258]"
F_00047,PennFudanPed/PNGImages/FudanPed00047.png,PASpersonWalking,472,520,"[272, 198, 371, 482]"
F_00047,PennFudanPed/PNGImages/FudanPed00047.png,PASpersonWalking,472,520,"[31, 195, 90, 427]"
F_00047,PennFudanPed/PNGImages/FudanPed00047.png,PASpersonWalking,472,520,"[384, 185, 430, 298]"
F_00048,PennFudanPed/PNGImages/FudanPed00048.png,PASpersonWalking,585,559,"[6, 242, 84, 535]"
F_00048,PennFudanPed/PNGImages/FudanPed00048.png,PASpersonWalking,585,559,"[79, 231, 144, 455]"
F_00048,PennFudanPed/PNGImages/FudanPed00048.png,PASpersonWalking,585,559,"[158, 219, 251, 507]"
F_00048,PennFudanPed/PNGImages/FudanPed00048.png,PASpersonWalking,585,559,"[460, 263, 580, 544]"
F_00049,PennFudanPed/PNGImages/FudanPed00049.png,PASpersonStanding,447,512,"[127, 123, 213, 412]"
F_00049,PennFudanPed/PNGImages/FudanPed00049.png,PASpersonStanding,447,512,"[214, 106, 317, 392]"
F_00049,PennFudanPed/PNGImages/FudanPed00049.png,PASpersonStanding,447,512,"[315, 107, 435, 387]"
F_00050,PennFudanPed/PNGImages/FudanPed00050.png,PASpersonWalking,580,516,"[33, 203, 135, 484]"
F_00050,PennFudanPed/PNGImages/FudanPed00050.png,PASpersonWalking,580,516,"[291, 205, 369, 412]"
F_00051,PennFudanPed/PNGImages/FudanPed00051.png,PASpersonWalking,448,501,"[126, 191, 218, 476]"
F_00052,PennFudanPed/PNGImages/FudanPed00052.png,PASpersonWalking,461,504,"[206, 189, 308, 492]"
F_00053,PennFudanPed/PNGImages/FudanPed00053.png,PASpersonWalking,541,580,"[94, 169, 195, 432]"
F_00053,PennFudanPed/PNGImages/FudanPed00053.png,PASpersonStanding,541,580,"[389, 150, 499, 453]"
F_00054,PennFudanPed/PNGImages/FudanPed00054.png,PASpersonWalking,533,498,"[97, 135, 182, 418]"
F_00054,PennFudanPed/PNGImages/FudanPed00054.png,PASpersonWalking,533,498,"[287, 114, 358, 332]"
F_00054,PennFudanPed/PNGImages/FudanPed00054.png,PASpersonWalking,533,498,"[364, 121, 437, 329]"
F_00055,PennFudanPed/PNGImages/FudanPed00055.png,PASpersonWalking,390,555,"[148, 178, 277, 530]"
F_00056,PennFudanPed/PNGImages/FudanPed00056.png,PASpersonWalking,565,581,"[439, 247, 537, 522]"
F_00056,PennFudanPed/PNGImages/FudanPed00056.png,PASpersonWalking,565,581,"[200, 259, 270, 529]"
F_00056,PennFudanPed/PNGImages/FudanPed00056.png,PASpersonWalking,565,581,"[252, 256, 374, 528]"
F_00057,PennFudanPed/PNGImages/FudanPed00057.png,PASpersonWalking,482,519,"[22, 91, 143, 406]"
F_00057,PennFudanPed/PNGImages/FudanPed00057.png,PASpersonWalking,482,519,"[131, 93, 205, 358]"
F_00057,PennFudanPed/PNGImages/FudanPed00057.png,PASpersonWalking,482,519,"[237, 83, 312, 356]"
F_00057,PennFudanPed/PNGImages/FudanPed00057.png,PASpersonWalking,482,519,"[343, 117, 388, 267]"
F_00057,PennFudanPed/PNGImages/FudanPed00057.png,PASpersonWalking,482,519,"[386, 116, 427, 250]"
F_00058,PennFudanPed/PNGImages/FudanPed00058.png,PASpersonWalking,522,479,"[145, 92, 261, 463]"
F_00058,PennFudanPed/PNGImages/FudanPed00058.png,PASpersonStanding,522,479,"[43, 123, 64, 211]"
F_00058,PennFudanPed/PNGImages/FudanPed00058.png,PASpersonWalking,522,479,"[289, 102, 341, 280]"
F_00058,PennFudanPed/PNGImages/FudanPed00058.png,PASpersonWalking,522,479,"[353, 97, 406, 276]"
F_00058,PennFudanPed/PNGImages/FudanPed00058.png,PASpersonWalking,522,479,"[427, 126, 446, 182]"
F_00058,PennFudanPed/PNGImages/FudanPed00058.png,PASpersonStanding,522,479,"[462, 126, 474, 171]"
F_00058,PennFudanPed/PNGImages/FudanPed00058.png,PASpersonStanding,522,479,"[473, 133, 489, 183]"
F_00058,PennFudanPed/PNGImages/FudanPed00058.png,PASpersonWalking,522,479,"[492, 121, 517, 202]"
F_00059,PennFudanPed/PNGImages/FudanPed00059.png,PASpersonWalking,576,369,"[35, 54, 135, 330]"
F_00059,PennFudanPed/PNGImages/FudanPed00059.png,PASpersonWalking,576,369,"[159, 36, 252, 329]"
F_00059,PennFudanPed/PNGImages/FudanPed00059.png,PASpersonWalking,576,369,"[270, 45, 380, 328]"
F_00060,PennFudanPed/PNGImages/FudanPed00060.png,PASpersonWalking,517,440,"[188, 141, 291, 427]"
F_00060,PennFudanPed/PNGImages/FudanPed00060.png,PASpersonWalking,517,440,"[293, 130, 384, 430]"
F_00060,PennFudanPed/PNGImages/FudanPed00060.png,PASpersonWalking,517,440,"[395, 149, 498, 427]"
F_00061,PennFudanPed/PNGImages/FudanPed00061.png,PASpersonWalking,547,407,"[165, 70, 266, 353]"
F_00061,PennFudanPed/PNGImages/FudanPed00061.png,PASpersonWalking,547,407,"[343, 86, 429, 381]"
F_00061,PennFudanPed/PNGImages/FudanPed00061.png,PASpersonWalking,547,407,"[406, 85, 531, 387]"
F_00062,PennFudanPed/PNGImages/FudanPed00062.png,PASpersonStanding,414,341,"[175, 25, 255, 321]"
F_00062,PennFudanPed/PNGImages/FudanPed00062.png,PASpersonStanding,414,341,"[291, 34, 377, 330]"
F_00063,PennFudanPed/PNGImages/FudanPed00063.png,PASpersonWalking,486,359,"[29, 38, 114, 332]"
F_00063,PennFudanPed/PNGImages/FudanPed00063.png,PASpersonWalking,486,359,"[156, 42, 262, 329]"
F_00063,PennFudanPed/PNGImages/FudanPed00063.png,PASpersonWalking,486,359,"[312, 54, 330, 99]"
F_00063,PennFudanPed/PNGImages/FudanPed00063.png,PASpersonWalking,486,359,"[297, 54, 303, 73]"
F_00063,PennFudanPed/PNGImages/FudanPed00063.png,PASpersonWalking,486,359,"[305, 53, 310, 73]"
F_00064,PennFudanPed/PNGImages/FudanPed00064.png,PASpersonWalking,546,420,"[141, 98, 240, 387]"
F_00064,PennFudanPed/PNGImages/FudanPed00064.png,PASpersonWalking,546,420,"[317, 101, 400, 395]"
F_00064,PennFudanPed/PNGImages/FudanPed00064.png,PASpersonWalking,546,420,"[400, 112, 517, 407]"
F_00065,PennFudanPed/PNGImages/FudanPed00065.png,PASpersonStanding,504,411,"[29, 69, 147, 382]"
F_00065,PennFudanPed/PNGImages/FudanPed00065.png,PASpersonStanding,504,411,"[147, 84, 242, 385]"
F_00065,PennFudanPed/PNGImages/FudanPed00065.png,PASpersonStanding,504,411,"[234, 70, 311, 393]"
F_00065,PennFudanPed/PNGImages/FudanPed00065.png,PASpersonStanding,504,411,"[342, 88, 430, 351]"
F_00065,PennFudanPed/PNGImages/FudanPed00065.png,PASpersonWalking,504,411,"[13, 58, 64, 183]"
F_00066,PennFudanPed/PNGImages/FudanPed00066.png,PASpersonWalking,360,359,"[248, 50, 329, 351]"
F_00067,PennFudanPed/PNGImages/FudanPed00067.png,PASpersonWalking,453,416,"[62, 79, 184, 375]"
F_00068,PennFudanPed/PNGImages/FudanPed00068.png,PASpersonWalking,375,398,"[249, 66, 318, 361]"
F_00069,PennFudanPed/PNGImages/FudanPed00069.png,PASpersonWalking,354,379,"[215, 70, 315, 363]"
F_00070,PennFudanPed/PNGImages/FudanPed00070.png,PASpersonWalking,390,382,"[288, 70, 370, 364]"
F_00071,PennFudanPed/PNGImages/FudanPed00071.png,PASpersonWalking,363,353,"[121, 44, 246, 330]"
F_00071,PennFudanPed/PNGImages/FudanPed00071.png,PASpersonWalking,363,353,"[256, 37, 339, 348]"
F_00071,PennFudanPed/PNGImages/FudanPed00071.png,PASpersonWalking,363,353,"[226, 52, 255, 119]"
F_00072,PennFudanPed/PNGImages/FudanPed00072.png,PASpersonWalking,375,349,"[48, 40, 139, 332]"
F_00073,PennFudanPed/PNGImages/FudanPed00073.png,PASpersonWalking,516,392,"[56, 66, 159, 360]"
F_00073,PennFudanPed/PNGImages/FudanPed00073.png,PASpersonWalking,516,392,"[193, 59, 289, 352]"
F_00074,PennFudanPed/PNGImages/FudanPed00074.png,PASpersonStanding,421,370,"[48, 51, 126, 351]"
F_00074,PennFudanPed/PNGImages/FudanPed00074.png,PASpersonStanding,421,370,"[178, 61, 256, 345]"
P_00001,PennFudanPed/PNGImages/PennPed00001.png,PASpersonWalking,612,406,"[83, 66, 197, 353]"
P_00001,PennFudanPed/PNGImages/PennPed00001.png,PASpersonWalking,612,406,"[265, 75, 355, 338]"
P_00001,PennFudanPed/PNGImages/PennPed00001.png,PASpersonWalking,612,406,"[403, 38, 501, 348]"
P_00001,PennFudanPed/PNGImages/PennPed00001.png,PASpersonWalking,612,406,"[514, 65, 610, 318]"
P_00001,PennFudanPed/PNGImages/PennPed00001.png,PASpersonStanding,612,406,"[206, 25, 266, 196]"
P_00002,PennFudanPed/PNGImages/PennPed00002.png,PASpersonWalking,745,378,"[9, 84, 97, 304]"
P_00002,PennFudanPed/PNGImages/PennPed00002.png,PASpersonWalking,745,378,"[83, 45, 165, 298]"
P_00002,PennFudanPed/PNGImages/PennPed00002.png,PASpersonWalking,745,378,"[268, 84, 370, 298]"
P_00002,PennFudanPed/PNGImages/PennPed00002.png,PASpersonWalking,745,378,"[363, 33, 516, 335]"
P_00002,PennFudanPed/PNGImages/PennPed00002.png,PASpersonWalking,745,378,"[576, 75, 713, 362]"
P_00002,PennFudanPed/PNGImages/PennPed00002.png,PASpersonWalking,745,378,"[517, 92, 608, 300]"
P_00003,PennFudanPed/PNGImages/PennPed00003.png,PASpersonWalking,670,418,"[8, 33, 174, 365]"
P_00003,PennFudanPed/PNGImages/PennPed00003.png,PASpersonWalking,670,418,"[452, 64, 531, 353]"
P_00003,PennFudanPed/PNGImages/PennPed00003.png,PASpersonWalking,670,418,"[531, 91, 661, 381]"
P_00004,PennFudanPed/PNGImages/PennPed00004.png,PASpersonWalking,786,436,"[67, 61, 170, 410]"
P_00004,PennFudanPed/PNGImages/PennPed00004.png,PASpersonWalking,786,436,"[155, 91, 253, 385]"
P_00004,PennFudanPed/PNGImages/PennPed00004.png,PASpersonWalking,786,436,"[228, 94, 325, 391]"
P_00004,PennFudanPed/PNGImages/PennPed00004.png,PASpersonWalking,786,436,"[417, 101, 516, 391]"
P_00004,PennFudanPed/PNGImages/PennPed00004.png,PASpersonWalking,786,436,"[595, 112, 734, 397]"
P_00005,PennFudanPed/PNGImages/PennPed00005.png,PASpersonStanding,767,454,"[68, 130, 159, 405]"
P_00005,PennFudanPed/PNGImages/PennPed00005.png,PASpersonStanding,767,454,"[165, 154, 252, 410]"
P_00005,PennFudanPed/PNGImages/PennPed00005.png,PASpersonWalking,767,454,"[263, 144, 415, 439]"
P_00005,PennFudanPed/PNGImages/PennPed00005.png,PASpersonWalking,767,454,"[540, 169, 666, 440]"
P_00005,PennFudanPed/PNGImages/PennPed00005.png,PASpersonStanding,767,454,"[602, 156, 701, 396]"
P_00006,PennFudanPed/PNGImages/PennPed00006.png,PASpersonWalking,631,436,"[111, 72, 199, 412]"
P_00006,PennFudanPed/PNGImages/PennPed00006.png,PASpersonWalking,631,436,"[231, 96, 329, 388]"
P_00006,PennFudanPed/PNGImages/PennPed00006.png,PASpersonWalking,631,436,"[443, 108, 608, 435]"
P_00006,PennFudanPed/PNGImages/PennPed00006.png,PASpersonWalking,631,436,"[3, 102, 69, 397]"
P_00007,PennFudanPed/PNGImages/PennPed00007.png,PASpersonWalking,570,412,"[42, 60, 165, 350]"
P_00007,PennFudanPed/PNGImages/PennPed00007.png,PASpersonWalking,570,412,"[127, 83, 201, 359]"
P_00007,PennFudanPed/PNGImages/PennPed00007.png,PASpersonWalking,570,412,"[187, 76, 309, 369]"
P_00007,PennFudanPed/PNGImages/PennPed00007.png,PASpersonWalking,570,412,"[299, 76, 381, 400]"
P_00007,PennFudanPed/PNGImages/PennPed00007.png,PASpersonWalking,570,412,"[426, 68, 527, 343]"
P_00008,PennFudanPed/PNGImages/PennPed00008.png,PASpersonWalking,452,403,"[47, 71, 177, 366]"
P_00008,PennFudanPed/PNGImages/PennPed00008.png,PASpersonWalking,452,403,"[199, 77, 305, 329]"
P_00008,PennFudanPed/PNGImages/PennPed00008.png,PASpersonWalking,452,403,"[256, 74, 394, 345]"
P_00008,PennFudanPed/PNGImages/PennPed00008.png,PASpersonWalking,452,403,"[343, 53, 421, 278]"
P_00009,PennFudanPed/PNGImages/PennPed00009.png,PASpersonWalking,648,413,"[47, 85, 147, 292]"
P_00009,PennFudanPed/PNGImages/PennPed00009.png,PASpersonWalking,648,413,"[163, 87, 240, 348]"
P_00009,PennFudanPed/PNGImages/PennPed00009.png,PASpersonWalking,648,413,"[225, 86, 300, 307]"
P_00009,PennFudanPed/PNGImages/PennPed00009.png,PASpersonWalking,648,413,"[316, 81, 391, 369]"
P_00009,PennFudanPed/PNGImages/PennPed00009.png,PASpersonWalking,648,413,"[375, 100, 471, 351]"
P_00009,PennFudanPed/PNGImages/PennPed00009.png,PASpersonWalking,648,413,"[470, 94, 559, 395]"
P_00009,PennFudanPed/PNGImages/PennPed00009.png,PASpersonWalking,648,413,"[533, 90, 605, 376]"
P_00010,PennFudanPed/PNGImages/PennPed00010.png,PASpersonStanding,750,495,"[18, 59, 103, 340]"
P_00010,PennFudanPed/PNGImages/PennPed00010.png,PASpersonStanding,750,495,"[186, 56, 262, 337]"
P_00010,PennFudanPed/PNGImages/PennPed00010.png,PASpersonWalking,750,495,"[309, 141, 437, 493]"
P_00010,PennFudanPed/PNGImages/PennPed00010.png,PASpersonWalking,750,495,"[475, 76, 619, 451]"
P_00010,PennFudanPed/PNGImages/PennPed00010.png,PASpersonWalking,750,495,"[392, 58, 485, 421]"
P_00010,PennFudanPed/PNGImages/PennPed00010.png,PASpersonWalking,750,495,"[563, 36, 681, 394]"
P_00011,PennFudanPed/PNGImages/PennPed00011.png,PASpersonWalking,508,376,"[92, 62, 236, 344]"
P_00011,PennFudanPed/PNGImages/PennPed00011.png,PASpersonWalking,508,376,"[242, 52, 301, 355]"
P_00012,PennFudanPed/PNGImages/PennPed00012.png,PASpersonWalking,565,429,"[114, 122, 212, 403]"
P_00013,PennFudanPed/PNGImages/PennPed00013.png,PASpersonWalking,564,385,"[98, 79, 210, 359]"
P_00013,PennFudanPed/PNGImages/PennPed00013.png,PASpersonWalking,564,385,"[259, 96, 364, 359]"
P_00013,PennFudanPed/PNGImages/PennPed00013.png,PASpersonWalking,564,385,"[384, 81, 498, 355]"
P_00013,PennFudanPed/PNGImages/PennPed00013.png,PASpersonWalking,564,385,"[215, 91, 257, 193]"
P_00014,PennFudanPed/PNGImages/PennPed00014.png,PASpersonWalking,542,368,"[127, 40, 206, 229]"
P_00014,PennFudanPed/PNGImages/PennPed00014.png,PASpersonWalking,542,368,"[209, 69, 312, 337]"
P_00014,PennFudanPed/PNGImages/PennPed00014.png,PASpersonWalking,542,368,"[354, 60, 448, 337]"
P_00014,PennFudanPed/PNGImages/PennPed00014.png,PASpersonWalking,542,368,"[286, 41, 353, 225]"
P_00015,PennFudanPed/PNGImages/PennPed00015.png,PASpersonWalking,906,438,"[123, 98, 280, 414]"
P_00015,PennFudanPed/PNGImages/PennPed00015.png,PASpersonWalking,906,438,"[286, 91, 448, 378]"
P_00015,PennFudanPed/PNGImages/PennPed00015.png,PASpersonWalking,906,438,"[749, 94, 834, 382]"
P_00016,PennFudanPed/PNGImages/PennPed00016.png,PASpersonStanding,683,399,"[86, 51, 146, 362]"
P_00016,PennFudanPed/PNGImages/PennPed00016.png,PASpersonStanding,683,399,"[236, 93, 329, 382]"
P_00016,PennFudanPed/PNGImages/PennPed00016.png,PASpersonStanding,683,399,"[468, 66, 579, 367]"
P_00017,PennFudanPed/PNGImages/PennPed00017.png,PASpersonWalking,492,403,"[115, 50, 204, 387]"
P_00017,PennFudanPed/PNGImages/PennPed00017.png,PASpersonWalking,492,403,"[259, 49, 398, 336]"
P_00018,PennFudanPed/PNGImages/PennPed00018.png,PASpersonWalking,460,344,"[65, 32, 145, 327]"
P_00018,PennFudanPed/PNGImages/PennPed00018.png,PASpersonWalking,460,344,"[181, 69, 262, 308]"
P_00019,PennFudanPed/PNGImages/PennPed00019.png,PASpersonWalking,734,404,"[17, 78, 106, 356]"
P_00019,PennFudanPed/PNGImages/PennPed00019.png,PASpersonWalking,734,404,"[160, 70, 249, 361]"
P_00019,PennFudanPed/PNGImages/PennPed00019.png,PASpersonWalking,734,404,"[315, 60, 390, 364]"
P_00019,PennFudanPed/PNGImages/PennPed00019.png,PASpersonWalking,734,404,"[368, 47, 474, 370]"
P_00019,PennFudanPed/PNGImages/PennPed00019.png,PASpersonWalking,734,404,"[464, 75, 539, 362]"
P_00019,PennFudanPed/PNGImages/PennPed00019.png,PASpersonWalking,734,404,"[525, 80, 639, 375]"
P_00019,PennFudanPed/PNGImages/PennPed00019.png,PASpersonWalking,734,404,"[600, 78, 704, 375]"
P_00020,PennFudanPed/PNGImages/PennPed00020.png,PASpersonWalking,721,428,"[142, 121, 264, 379]"
P_00020,PennFudanPed/PNGImages/PennPed00020.png,PASpersonWalking,721,428,"[387, 76, 516, 365]"
P_00020,PennFudanPed/PNGImages/PennPed00020.png,PASpersonWalking,721,428,"[445, 77, 607, 369]"
P_00021,PennFudanPed/PNGImages/PennPed00021.png,PASpersonWalking,712,436,"[68, 118, 218, 407]"
P_00021,PennFudanPed/PNGImages/PennPed00021.png,PASpersonWalking,712,436,"[464, 81, 588, 382]"
P_00021,PennFudanPed/PNGImages/PennPed00021.png,PASpersonWalking,712,436,"[559, 111, 681, 381]"
P_00022,PennFudanPed/PNGImages/PennPed00022.png,PASpersonWalking,925,486,"[30, 118, 167, 413]"
P_00022,PennFudanPed/PNGImages/PennPed00022.png,PASpersonWalking,925,486,"[120, 149, 257, 413]"
